raw_symptoms,symptom_categories,body_parts_affected,severity_indicators,temporal_indicators,symptom_descriptions,symptom_count,has_multiple_symptoms,urgency_score,listed_symptoms,case_id,species,age
"['bloat', 'bloated', 'abdomen', 'seizure']","['gastrointestinal', 'neurological']",['abdomen'],['severe'],['days'],['going for'],4,True,5.0,"['bloated abdomen', 'severe bleeding', 'severe allergic reaction', 'seizures']",58,cat,7.7
"['limp', 'limping']",['musculoskeletal'],"['ears', 'ear']",['severe'],['days'],[],2,True,1.5,"['routine checkup', 'dental cleaning inquiry', 'limping severely']",59,cat,11.4
['drinking'],['gastrointestinal'],[],[],['yesterday'],['advise urgency'],1,False,0.5,['drinking more water than usual'],60,bird,9.1
"['pant', 'panting']",['respiratory'],"['ears', 'ear']",[],['today'],[],2,True,1.0,"['excessive panting', 'difficulty defecating', 'difficulty swallowing']",61,dog,13.9
"['eye', 'discharge', 'squint', 'squinting']",['ocular'],['eye'],[],['days'],[],4,True,2.0,"['weight management consultation', 'eye discharge with squinting']",62,guinea pig,1.1
"['cough', 'coughing', 'pant', 'panting', 'swollen', 'swollen']","['respiratory', 'musculoskeletal', 'ocular']",[],['moderate'],['yesterday'],['we come immediately'],6,True,3.0,"['swollen face', 'excessive panting', 'moderate bleeding', 'persistent coughing']",63,hamster,11.8
"['pant', 'panting', 'diarrhea', 'eye', 'discharge', 'squint', 'squinting']","['respiratory', 'gastrointestinal', 'ocular']","['ears', 'ear', 'eye']",[],[],['we come immediately'],7,True,3.5,"['bloody diarrhea', 'eye discharge with squinting', 'excessive panting']",64,dog,0.2
"['limp', 'limping', 'behavior']","['musculoskeletal', 'behavioral']","['ears', 'ear']",['severe'],['days'],[],3,True,2.25,"['sudden behavior change', 'limping severely']",65,guinea pig,3.6
"['breath', 'red', 'behavior']","['respiratory', 'ocular', 'behavioral']",[],[],['days'],['advise urgency'],3,True,1.5,"['weight management consultation', 'bad breath', 'grooming required', 'behavioral consultation']",66,guinea pig,2.2
"['appetite', 'lethargy', 'urinating', 'frequent']","['gastrointestinal', 'behavioral', 'urinary']","['ears', 'ear']",[],[],['advise urgency'],4,True,2.0,"['urinating more frequently', 'loss of appetite', 'lethargy']",67,rabbit,9.2
"['eye', 'discharge', 'squint', 'squinting']",['ocular'],"['ear', 'eye']",[],['days'],"['hamster experiencing discharge with', 'we come immediately']",4,True,2.0,"['eye discharge with squinting', 'routine checkup']",68,hamster,2.7
[],[],"['nail', 'ears', 'ear']",[],['today'],['advise urgency'],0,False,0.0,['nail trimming needed'],69,guinea pig,6.8
"['diarrhea', 'limp', 'limping']","['gastrointestinal', 'musculoskeletal']",['ear'],[],['days'],['dog experiencing limping'],3,True,1.5,"['minor limping', 'diarrhea']",70,dog,0.6
"['sneezing', 'diarrhea', 'drinking']","['respiratory', 'gastrointestinal']",[],[],['days'],['going for'],3,True,1.5,"['diarrhea', 'drinking more water than usual', 'sneezing']",71,dog,2.2
"['paralysis', 'unconscious', 'urinate']","['neurological', 'urinary']",[],['severe'],['days'],['advise urgency'],3,True,5.0,"['severe trauma', 'unconscious', 'paralysis', 'unable to urinate']",72,guinea pig,2.8
"['vomit', 'vomiting', 'scratch', 'scratching', 'lethargy']","['gastrointestinal', 'dermatological', 'behavioral']",[],[],[],"['just started ago', 'we come immediately']",5,True,2.5,"['vomiting', 'excessive scratching', 'lethargy']",73,rabbit,9.6
"['cough', 'coughing']",['respiratory'],['ear'],"['severe', 'moderate']",['yesterday'],['pig experiencing difficulty'],2,True,1.5,"['difficulty swallowing', 'moderate bleeding', 'difficulty defecating', 'persistent coughing', 'severe allergic reaction']",74,guinea pig,9.6
"['breath', 'red']","['respiratory', 'ocular']","['nail', 'ears', 'ear']",[],['days'],['going for'],2,True,1.0,"['dental cleaning inquiry', 'nail trimming needed', 'bad breath', 'grooming required']",75,guinea pig,7.4
"['breath', 'cough', 'coughing']",['respiratory'],"['ears', 'ear']",['mild'],['today'],[],3,True,1.5,"['vaccination due', 'weight management consultation', 'bad breath', 'mild coughing']",76,dog,1.7
['breath'],['respiratory'],"['ears', 'ear']",[],[],[],1,False,0.5,"['dental cleaning inquiry', 'bad breath', 'weight management consultation']",77,dog,3.4
"['sneezing', 'appetite']","['respiratory', 'gastrointestinal']",['ear'],[],[],"['cat experiencing sneezing', 'just started ago']",2,True,1.0,"['sneezing', 'loss of appetite']",78,cat,3.2
['urinate'],['urinary'],"['ears', 'ear']",[],[],[],1,False,0.5,"['poisoning suspected', 'unable to urinate']",79,bird,8.2
"['vomit', 'vomiting', 'diarrhea', 'drinking', 'limp', 'limping']","['gastrointestinal', 'musculoskeletal']",[],[],[],[],6,True,3.0,"['drinking more water than usual', 'diarrhea', 'minor limping', 'vomiting']",80,guinea pig,2.2
['breath'],['respiratory'],['ear'],[],['yesterday'],['rabbit experiencing consultation'],1,False,0.5,"['weight management consultation', 'bad breath']",81,rabbit,3.4
"['sneezing', 'eye', 'discharge']","['respiratory', 'ocular']","['ears', 'ear', 'eye']",[],[],[],3,True,1.5,"['ear discharge', 'minor eye discharge', 'sneezing']",82,hamster,5.1
[],[],"['nail', 'ears', 'ear']",[],['days'],[],0,False,0.0,"['nail trimming needed', 'weight management consultation', 'vaccination due']",83,guinea pig,3.7
"['sneezing', 'vomit', 'vomiting', 'limp', 'limping', 'lethargy']","['respiratory', 'gastrointestinal', 'musculoskeletal', 'behavioral']","['ears', 'ear']",[],[],['just started ago'],6,True,3.0,"['minor limping', 'vomiting', 'lethargy', 'sneezing']",84,hamster,5.1
[],[],"['ears', 'ear']",[],['yesterday'],[],0,False,0.0,['diet advice needed'],85,cat,2.2
"['cough', 'coughing', 'diarrhea', 'swollen', 'eye', 'discharge', 'squint', 'squinting', 'swollen']","['respiratory', 'gastrointestinal', 'musculoskeletal', 'ocular']","['ears', 'ear', 'eye']",[],['yesterday'],['we come immediately'],9,True,4.5,"['persistent coughing', 'bloody diarrhea', 'swollen face', 'eye discharge with squinting']",86,dog,3.4
[],[],"['gum', 'ears', 'gums', 'ear']",['severe'],['days'],"['going for', 'we come immediately']",0,False,0.0,"['pale gums', 'severe trauma', 'heatstroke symptoms']",87,cat,0.6
"['vomit', 'vomiting', 'diarrhea', 'urinating', 'frequent']","['gastrointestinal', 'urinary']",['ear'],[],[],['bird experiencing vomiting'],5,True,2.5,"['vomiting', 'urinating more frequently', 'diarrhea']",88,bird,12.1
"['vomit', 'vomiting', 'diarrhea']",['gastrointestinal'],['ear'],[],['yesterday'],['hamster experiencing diarrhea'],3,True,1.5,"['diarrhea', 'vomiting']",89,hamster,7.1
"['vomit', 'vomiting', 'drool', 'drooling', 'limp', 'limping']","['gastrointestinal', 'musculoskeletal']",['ear'],['severe'],[],"['cat experiencing drooling', 'just started ago', 'we come immediately']",6,True,4.5,"['excessive drooling', 'limping severely', 'vomiting blood']",90,cat,2.9
"['sneezing', 'appetite', 'limp', 'limping', 'eye', 'discharge']","['respiratory', 'gastrointestinal', 'musculoskeletal', 'ocular']","['ears', 'ear', 'eye']",[],['days'],['advise urgency'],6,True,3.0,"['sneezing', 'minor eye discharge', 'minor limping', 'loss of appetite']",91,bird,3.7
"['behavior', 'urinating', 'frequent']","['behavioral', 'urinary']",['nail'],[],[],['just started ago'],3,True,1.5,"['nail trimming needed', 'routine checkup', 'diet advice needed', 'behavioral consultation', 'urinating more frequently']",92,rabbit,9.0
[],[],"['ears', 'ear']",[],[],[],0,False,0.0,['weight management consultation'],93,dog,16.3
"['scratch', 'scratching', 'urinate']","['dermatological', 'urinary']",['ear'],[],['days'],"['rabbit experiencing scratching', 'going for']",3,True,1.5,"['excessive scratching', 'unable to urinate']",94,rabbit,12.1
"['limp', 'limping', 'lethargy']","['musculoskeletal', 'behavioral']",['ear'],[],[],['hamster experiencing lethargy'],3,True,1.5,"['lethargy', 'minor limping', 'dental cleaning inquiry']",95,hamster,5.3
"['cough', 'coughing', 'limp', 'limping', 'swollen', 'swollen', 'behavior']","['respiratory', 'musculoskeletal', 'ocular', 'behavioral']",['ear'],['severe'],['yesterday'],"['rabbit experiencing coughing', 'we come immediately']",7,True,5.0,"['persistent coughing', 'limping severely', 'sudden behavior change', 'swollen face']",96,rabbit,3.3
[],[],"['ears', 'ear']",[],['today'],[],0,False,0.0,"['vaccination due', 'dental cleaning inquiry']",97,rabbit,1.3
"['scratch', 'scratching']",['dermatological'],"['ears', 'ear']",[],['days'],"['going for', 'advise urgency']",2,True,1.0,['excessive scratching'],98,hamster,5.1
['behavior'],['behavioral'],"['ears', 'ear']",[],['days'],['going for'],1,False,0.5,"['vaccination due', 'routine checkup', 'behavioral consultation', 'diet advice needed']",99,rabbit,10.2
"['scratch', 'scratching', 'red']","['dermatological', 'ocular']",[],['mild'],['days'],"['going for', 'advise urgency']",3,True,1.5,"['dental cleaning inquiry', 'routine checkup', 'mild scratching', 'grooming required']",100,guinea pig,10.4
[],[],"['ears', 'ear']",[],['days'],"['ragdoll cat', 'going for']",0,False,0.0,['dental cleaning inquiry'],101,cat,16.6
['red'],['ocular'],"['nail', 'ears', 'ear']",[],['yesterday'],['we come immediately'],1,False,0.5,"['nail trimming needed', 'grooming required', 'dental cleaning inquiry']",102,guinea pig,1.8
"['scratch', 'scratching', 'red']","['dermatological', 'ocular']","['nail', 'ears', 'ear']",['mild'],['days'],['going for'],3,True,1.5,"['grooming required', 'mild scratching', 'nail trimming needed']",103,rabbit,9.6
"['diarrhea', 'drool', 'drooling', 'behavior']","['gastrointestinal', 'behavioral']",['ear'],[],['yesterday'],['cat experiencing change'],4,True,2.0,"['excessive drooling', 'bloody diarrhea', 'difficulty swallowing', 'sudden behavior change']",104,cat,0.6
['red'],['ocular'],"['ears', 'ear']",[],['days'],"['going for', 'advise urgency']",1,False,0.5,"['grooming required', 'vaccination due', 'diet advice needed']",105,rabbit,5.4
[],[],"['gum', 'gums']",[],['today'],['advise urgency'],0,False,0.0,['pale gums'],106,cat,0.5
"['cough', 'coughing', 'diarrhea', 'bloat', 'bloated', 'drinking', 'abdomen']","['respiratory', 'gastrointestinal']","['abdomen', 'ears', 'ear']",['mild'],['days'],"['going for', 'advise urgency']",7,True,5.0,"['mild coughing', 'diarrhea', 'drinking more water than usual', 'bloated abdomen']",107,dog,0.4
"['diarrhea', 'drinking']",['gastrointestinal'],"['ears', 'ear']",[],[],"['scottish fold cat with', 'just started ago', 'we come immediately']",2,True,1.0,"['diarrhea', 'drinking more water than usual']",108,cat,3.3
['breath'],['respiratory'],['nail'],[],['days'],"['going for', 'advise urgency']",1,False,0.5,"['nail trimming needed', 'bad breath']",109,hamster,5.7
"['diarrhea', 'limp', 'limping']","['gastrointestinal', 'musculoskeletal']",[],[],['days'],['going for'],3,True,1.5,"['diarrhea', 'minor limping']",110,guinea pig,8.1
"['drinking', 'eye', 'discharge']","['gastrointestinal', 'ocular']","['ears', 'ear', 'eye']",[],['days'],[],3,True,1.5,"['drinking more water than usual', 'minor eye discharge']",111,bird,9.2
[],[],['nail'],[],[],[],0,False,0.0,"['weight management consultation', 'nail trimming needed']",112,dog,3.2
"['cough', 'coughing', 'vomit', 'vomiting', 'appetite', 'lethargy']","['respiratory', 'gastrointestinal', 'behavioral']",['ear'],['mild'],['days'],"['dog experiencing coughing', 'going for']",6,True,3.0,"['mild coughing', 'loss of appetite', 'lethargy', 'vomiting']",113,dog,17.0
"['breath', 'red']","['respiratory', 'ocular']","['ears', 'ear']",[],[],['we come immediately'],2,True,1.0,"['grooming required', 'bad breath', 'dental cleaning inquiry', 'weight management consultation']",114,dog,6.4
"['cough', 'coughing', 'behavior']","['respiratory', 'behavioral']",['ear'],[],['days'],"['hamster experiencing difficulty', 'going for']",3,True,1.5,"['difficulty swallowing', 'difficulty defecating', 'persistent coughing', 'sudden behavior change']",115,hamster,2.9
[],[],[],[],[],[],0,False,0.0,['weight management consultation'],116,cat,2.7
"['diarrhea', 'eye', 'discharge', 'lethargy']","['gastrointestinal', 'ocular', 'behavioral']","['ear', 'eye']",[],['yesterday'],['concerned discharge'],4,True,2.0,"['diarrhea', 'minor eye discharge', 'lethargy', 'ear discharge']",117,guinea pig,11.0
"['limp', 'limping']",['musculoskeletal'],[],['severe'],['today'],[],2,True,1.5,['limping severely'],118,rabbit,4.8
"['vomit', 'vomiting', 'appetite']",['gastrointestinal'],"['ears', 'ear']",[],['yesterday'],[],3,True,1.5,"['vomiting blood', 'loss of appetite']",119,guinea pig,5.2
"['scratch', 'scratching']",['dermatological'],['ear'],['mild'],['today'],"['dog experiencing scratching', 'advise urgency']",2,True,1.0,['mild scratching'],120,dog,6.7
"['breath', 'scratch', 'scratching', 'red']","['respiratory', 'dermatological', 'ocular']",['nail'],['mild'],['days'],['we come immediately'],4,True,2.0,"['mild scratching', 'nail trimming needed', 'grooming required', 'bad breath']",121,dog,8.6
"['limp', 'limping', 'behavior']","['musculoskeletal', 'behavioral']",['ear'],[],['yesterday'],['pig experiencing limping'],3,True,1.5,"['minor limping', 'behavioral consultation']",122,guinea pig,6.1
"['breath', 'discharge']","['respiratory', 'ocular']","['nail', 'ear']",[],[],['just started ago'],2,True,1.0,"['bad breath', 'nail trimming needed', 'ear discharge']",123,rabbit,2.6
"['seizure', 'paralysis']",['neurological'],"['ears', 'ear']",[],['today'],[],2,True,4.0,"['seizures', 'paralysis']",124,cat,0.9
"['scratch', 'scratching']",['dermatological'],['ear'],['mild'],['days'],['pig experiencing consultation'],2,True,1.0,"['weight management consultation', 'mild scratching']",125,guinea pig,5.7
"['diarrhea', 'appetite', 'drinking', 'lethargy']","['gastrointestinal', 'behavioral']",[],[],['days'],['going for'],4,True,2.0,"['lethargy', 'loss of appetite', 'diarrhea', 'drinking more water than usual']",126,bird,2.4
"['breath', 'red']","['respiratory', 'ocular']",[],[],[],['just started ago'],2,True,1.0,"['grooming required', 'routine checkup', 'bad breath']",127,bird,4.9
"['vomit', 'vomiting', 'appetite', 'eye', 'discharge']","['gastrointestinal', 'ocular']","['ears', 'ear', 'eye']",[],['days'],"['going for', 'advise urgency']",5,True,2.5,"['ear discharge', 'vomiting', 'minor eye discharge', 'loss of appetite']",128,bird,9.5
"['diarrhea', 'appetite', 'eye', 'discharge']","['gastrointestinal', 'ocular']","['ears', 'ear', 'eye']",[],[],[],4,True,2.0,"['diarrhea', 'ear discharge', 'minor eye discharge', 'loss of appetite']",129,guinea pig,6.4
"['vomit', 'vomiting']",['gastrointestinal'],"['nail', 'ear']",[],['days'],"['hamster experiencing trimming checkup', 'advise urgency']",2,True,1.0,"['nail trimming needed', 'routine checkup', 'dental cleaning inquiry', 'vomiting']",130,hamster,4.4
"['scratch', 'scratching']",['dermatological'],"['ears', 'ear']",['mild'],['today'],[],2,True,1.0,"['vaccination due', 'routine checkup', 'mild scratching']",131,hamster,8.8
"['sneezing', 'vomit', 'vomiting', 'drinking', 'urinate']","['respiratory', 'gastrointestinal', 'urinary']",[],[],['today'],[],5,True,2.5,"['vomiting', 'sneezing', 'drinking more water than usual', 'unable to urinate']",132,hamster,12.1
"['breath', 'behavior']","['respiratory', 'behavioral']","['ears', 'ear']",[],['today'],[],2,True,1.0,"['bad breath', 'behavioral consultation']",133,dog,18.0
"['cough', 'coughing', 'limp', 'limping']","['respiratory', 'musculoskeletal']",[],['mild'],['days'],['advise urgency'],4,True,2.0,"['minor limping', 'mild coughing', 'dental cleaning inquiry']",134,dog,5.9
"['breath', 'scratch', 'scratching', 'red']","['respiratory', 'dermatological', 'ocular']",[],['mild'],[],['just started ago'],4,True,2.0,"['mild scratching', 'weight management consultation', 'grooming required', 'bad breath']",135,bird,1.1
"['sneezing', 'discharge', 'lethargy']","['respiratory', 'ocular', 'behavioral']",['ear'],[],[],"['pig experiencing sneezing', 'just started ago']",3,True,1.5,"['sneezing', 'lethargy', 'ear discharge']",136,guinea pig,6.7
['red'],['ocular'],"['ears', 'ear']",[],['today'],[],1,False,0.5,"['weight management consultation', 'grooming required']",137,cat,5.5
"['diarrhea', 'drinking', 'discharge']","['gastrointestinal', 'ocular']",['ear'],[],['days'],['concerned going for'],3,True,1.5,"['ear discharge', 'drinking more water than usual', 'bloody diarrhea']",138,hamster,6.7
"['scratch', 'scratching']",['dermatological'],"['gum', 'ears', 'gums', 'ear']",[],[],['just started ago'],2,True,1.0,"['excessive scratching', 'pale gums']",139,rabbit,11.1
['discharge'],['ocular'],"['ears', 'ear']",['severe'],['days'],['we come immediately'],1,False,0.75,"['ear discharge', 'severe allergic reaction']",140,hamster,2.9
['breath'],['respiratory'],"['ears', 'ear']",[],['days'],"['going for', 'advise urgency']",1,False,0.5,"['routine checkup', 'bad breath']",141,rabbit,4.2
"['urinating', 'frequent']",['urinary'],"['ears', 'ear']",[],['yesterday'],[],2,True,1.0,['urinating more frequently'],142,cat,4.3
