case_id,timestamp,species,breed,age_years,age_category,weight_kg,symptoms,description,urgency_level,urgency_score,wait_time_minutes,requires_immediate_attention,follow_up_required,previous_conditions,symptom_0,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16,symptom_17,symptom_18,symptom_19,symptom_20,symptom_21,symptom_22,symptom_23,symptom_24,symptom_25,symptom_26,symptom_27,symptom_28,symptom_29,symptom_30,symptom_31,symptom_32,symptom_33,symptom_34,symptom_35,symptom_36,symptom_37,symptom_38,symptom_39,symptom_40,symptom_41,symptom_42,symptom_43,symptom_44,symptom_45,symptom_46,text_length,exclamation_count,question_count,critical_keyword_count,urgent_keyword_count,moderate_keyword_count,low_keyword_count,urgency_words,species_encoded,urgency_numeric,age_category_encoded
11,2025-01-18T11:53:03.880120,cat,British Shorthair,1.1144022177935415,senior,-0.0683562518404308,"['bad breath', 'behavioral consultation']","My 12.3 year old British Shorthair cat has been experiencing bad breath, behavioral consultation. Progressive over 3 days. Very worried.",low,2,0.4664724022123341,False,True,[],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,0,0,0,1,0,1,1,4
12,2025-01-28T11:53:03.880131,cat,Sphynx,-1.2906491103698705,kitten,-0.29161981248269614,"['minor limping', 'nail trimming needed']","My 0.1 year old Sphynx cat has been experiencing minor limping, nail trimming needed. Noticed yesterday. Very worried.",moderate,3,-0.651384211666085,False,False,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,0,0,0,1,0,1,2,0
13,2025-01-28T11:53:03.880140,dog,German Shepherd,1.9423707078170112,geriatric,3.4451071498457444,['lethargy'],German Shepherd dog with lethargy. Age: 16.5 years. Progressive over 3 days. Seems to be getting worse.,moderate,4,-0.8896159490500104,True,False,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,1,0,0,2,2,4
14,2025-02-12T11:53:03.880149,cat,Siamese,-1.0738002201256285,young,-0.15061124786652857,['sneezing'],"Patient is a Siamese cat, 1.2 years old, presenting with sneezing. Just started an hour ago. Seems to be getting worse.",moderate,3,-0.6147331751454811,False,False,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,0,0,1,0,0,1,2,1
15,2025-04-11T11:53:03.880158,guinea pig,mixed,-0.9555190072651328,young,-0.5148833731249615,"['ear discharge', 'diarrhea']","Concerned about my guinea pig (mixed, 1.8yo) showing signs of ear discharge, diarrhea. Progressive over 3 days. Should we come in immediately?",moderate,3,-0.7246862847072928,False,False,[],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,1,0,0,2,0,1,3,2,1
16,2024-12-01T11:53:03.880169,bird,mixed,0.8581262565958009,senior,-0.5736369417150312,"['nail trimming needed', 'mild scratching']","mixed bird with nail trimming needed, mild scratching. Age: 11.0 years. Has been going on for 2 days. Please advise urgency.",low,2,0.19158962830780482,False,True,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,0,0,1,1,0,0,1,3
17,2025-07-05T11:53:03.880178,rabbit,mixed,0.4244284761073169,senior,-0.40912694966283575,"['ear discharge', 'urinating more frequently']","mixed rabbit with ear discharge, urinating more frequently. Age: 8.8 years. Started today. Very worried.",moderate,3,-0.5597566203645752,False,True,"['kidney disease', 'obesity', 'dental disease']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16,0,0,0,0,1,0,0,5,2,3
18,2025-03-05T11:53:03.880190,cat,Russian Blue,1.094688682316792,senior,0.09615374021176473,"['vaccination due', 'diet advice needed', 'routine checkup', 'severe trauma']","Russian Blue cat with vaccination due, diet advice needed, routine checkup, severe trauma. Age: 12.2 years. Progressive over 3 days. Please advise urgency.",low,2,-0.21157177341883812,False,True,[],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24,0,0,1,0,0,4,0,1,1,4
19,2025-06-01T11:53:03.880200,dog,Dachshund,1.8043759594797664,geriatric,1.4004829629113147,"['mild scratching', 'behavioral consultation', 'grooming required', 'routine checkup']","My 15.8 year old Dachshund dog has been experiencing mild scratching, behavioral consultation, grooming required, routine checkup. Symptoms for the past week. Should we come in immediately?",low,3,-0.35817591950125377,False,False,"['arthritis', 'ear infections', 'heart murmur']",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,1,0,0,1,4,1,2,1,4
20,2024-12-16T11:53:03.880211,rabbit,mixed,0.5427096889678125,senior,-0.25636767132865423,"['sudden behavior change', 'excessive drooling', 'eye discharge with squinting', 'urinating more frequently']","Patient is a mixed rabbit, 9.4 years old, presenting with sudden behavior change, excessive drooling, eye discharge with squinting, urinating more frequently. Progressive over 3 days. Very worried.",urgent,5,-1.0911966499133319,True,False,"['obesity', 'dental disease', 'anxiety']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29,0,0,0,2,1,0,0,5,3,3
21,2025-01-21T11:53:03.880223,dog,German Shepherd,-0.009269304381167479,adult,3.832880702540206,"['excessive scratching', 'urinating more frequently', 'sneezing', 'drinking more water than usual']","My 6.6 year old German Shepherd dog has been experiencing excessive scratching, urinating more frequently, sneezing, drinking more water than usual. Has been going on for 2 days. Seems to be getting worse.",moderate,2,0.2832172196093146,False,False,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34,0,0,0,1,2,0,0,2,2,2
22,2025-04-15T11:53:03.880233,cat,Siamese,1.7649488885262676,geriatric,0.002148030467652935,"['ear discharge', 'excessive drooling']","My 15.6 year old Siamese cat has been experiencing ear discharge, excessive drooling. Has been going on for 2 days. Pet is distressed.",moderate,4,-1.054545613392728,True,False,['anxiety'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,1,1,0,0,1,2,4
23,2025-03-15T11:53:03.880242,hamster,mixed,-0.7978107234511386,young,-0.5736369417150312,"['minor eye discharge', 'loss of appetite']","Patient is a mixed hamster, 2.6 years old, presenting with minor eye discharge, loss of appetite. Has been going on for 2 days. Please advise urgency.",moderate,3,-0.6697097299263869,False,True,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0,0,0,2,0,0,4,2,1
24,2024-12-01T11:53:03.880250,bird,mixed,-1.0146596136953805,young,-0.5618862279970174,"['persistent coughing', 'difficulty swallowing']","My 1.5 year old mixed bird has been experiencing persistent coughing, difficulty swallowing. Symptoms for the past week. Seems to be getting worse.",urgent,4,-0.8896159490500104,True,True,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,1,1,0,0,0,3,1
25,2024-09-24T11:53:03.880258,hamster,mixed,-0.7583836524976401,young,-0.5853876554330453,"['sneezing', 'minor limping']","mixed hamster with sneezing, minor limping. Age: 2.8 years. Started today. Seems to be getting worse.",moderate,3,-0.5780821386248772,False,True,['arthritis'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,0,0,1,0,0,4,2,1
26,2024-11-01T11:53:03.880266,cat,Russian Blue,-0.7583836524976401,young,-0.09185767927645876,"['diet advice needed', 'vaccination due', 'weight management consultation']","Patient is a Russian Blue cat, 2.8 years old, presenting with diet advice needed, vaccination due, weight management consultation. Started today. Pet is distressed.",low,2,0.906284840459581,False,True,"['kidney disease', 'eye problems', 'obesity']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25,0,0,0,0,0,3,0,1,1,1
27,2024-12-15T11:53:03.880275,rabbit,mixed,-0.5218212267766487,adult,-0.2328662438926263,"['urinating more frequently', 'excessive scratching']","My 4.0 year old mixed rabbit has been experiencing urinating more frequently, excessive scratching. Progressive over 3 days. Should we come in immediately?",moderate,2,-0.32152488298064985,False,False,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24,0,1,0,1,1,0,1,5,2,2
28,2025-03-30T11:53:03.880283,hamster,mixed,1.2721105016075356,senior,-0.5853876554330453,"['swollen face', 'difficulty swallowing', 'excessive panting', 'moderate bleeding']","Patient is a mixed hamster, 13.1 years old, presenting with swollen face, difficulty swallowing, excessive panting, moderate bleeding. Started today. Pet is distressed.",urgent,5,-1.1095221681736338,True,False,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,1,3,0,0,0,4,3,4
29,2024-10-16T11:53:03.880295,dog,Chihuahua,-1.2906491103698705,puppy,-0.24461695761064026,"['sudden behavior change', 'difficulty defecating']","Patient is a Chihuahua dog, 0.1 years old, presenting with sudden behavior change, difficulty defecating. Just started an hour ago. Should we come in immediately?",urgent,4,-0.9995690586118221,True,True,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,1,0,2,0,0,1,2,3,0
30,2025-04-17T11:53:03.880303,dog,Husky,0.3850014051538181,senior,1.353480108039259,['mild scratching'],Husky dog with mild scratching. Age: 8.6 years. Started today. Should we come in immediately?,low,2,0.19158962830780482,False,True,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1,0,0,1,0,1,2,1,3
31,2024-12-28T11:53:03.880310,bird,mixed,0.1287254439560775,adult,-0.5383848005609894,"['mild coughing', 'loss of appetite']","Concerned about my bird (mixed, 7.3yo) showing signs of mild coughing, loss of appetite. Noticed yesterday. Is this an emergency?",moderate,2,-0.11994418211732837,False,False,"['skin condition', 'kidney disease']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,1,0,0,2,0,1,0,2,3
32,2025-05-08T11:53:03.880319,dog,Beagle,0.08929837300257891,adult,2.0702736448381103,"['paralysis', 'severe bleeding']","My 7.1 year old Beagle dog has been experiencing paralysis, severe bleeding. Just started an hour ago. Please advise urgency.",critical,4,-0.9995690586118221,True,True,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,2,0,0,0,0,2,4,3
33,2025-04-14T11:53:03.880328,hamster,mixed,-0.837237794404637,young,-0.5853876554330453,"['mild coughing', 'minor eye discharge', 'sneezing', 'excessive scratching', 'vomiting blood']","mixed hamster with mild coughing, minor eye discharge, sneezing, excessive scratching, vomiting blood. Age: 2.4 years. Started today. Please advise urgency.",moderate,3,-0.4864545473233674,False,False,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22,0,0,0,3,5,0,0,4,2,1
34,2025-03-08T11:53:03.880335,bird,mixed,-0.8175242589278878,young,-0.5736369417150312,['eye discharge with squinting'],mixed bird with eye discharge with squinting. Age: 2.5 years. Symptoms for the past week. Very worried.,urgent,4,-0.9262669855706143,True,True,['kidney disease'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,1,0,0,0,3,1
35,2025-02-16T11:53:03.880345,rabbit,mixed,0.4441420115840661,senior,-0.25636767132865423,"['vaccination due', 'diet advice needed', 'routine checkup', 'mild scratching', 'excessive panting']","Patient is a mixed rabbit, 8.9 years old, presenting with vaccination due, diet advice needed, routine checkup, mild scratching, excessive panting. Progressive over 3 days. Very worried.",low,2,0.8146572491580713,False,False,[],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28,0,0,0,1,1,4,0,5,1,3
36,2025-01-27T11:53:03.880353,bird,mixed,1.094688682316792,senior,-0.5618862279970174,"['lethargy', 'minor eye discharge', 'sneezing']","Concerned about my bird (mixed, 12.2yo) showing signs of lethargy, minor eye discharge, sneezing. Symptoms for the past week. Is this an emergency?",moderate,3,-0.8529649125294064,False,True,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,1,0,0,3,0,1,0,2,4
