case_id,timestamp,species,breed,age_years,age_category,weight_kg,symptoms,description,urgency_level,urgency_score,wait_time_minutes,requires_immediate_attention,follow_up_required,previous_conditions
50,2024-12-19T11:53:03.880469,bird,mixed,14.3,senior,0.2,"['vaccination due', 'behavioral consultation', 'mild coughing']","My 14.3 year old mixed bird has been experiencing vaccination due, behavioral consultation, mild coughing. Just started an hour ago. Should we come in immediately?",low,2,66,False,False,['dental disease']
51,2025-06-11T11:53:03.880478,dog,Labrador,3.8,adult,29.1,"['severe allergic reaction', 'bloated abdomen', 'unable to urinate']","Concerned about my dog (Labrador, 3.8yo) showing signs of severe allergic reaction, bloated abdomen, unable to urinate. Has been going on for 2 days. Very worried.",critical,4,5,True,False,"['arthritis', 'hip dysplasia', 'obesity']"
52,2024-09-17T11:53:03.880486,rabbit,mixed,1.7,young,1.7,['behavioral consultation'],"Patient is a mixed rabbit, 1.7 years old, presenting with behavioral consultation. Progressive over 3 days. Seems to be getting worse.",low,2,118,False,False,['thyroid issues']
53,2025-04-20T11:53:03.880495,guinea pig,mixed,5.0,adult,1.2,"['drinking more water than usual', 'excessive scratching', 'minor eye discharge', 'diarrhea']","mixed guinea pig with drinking more water than usual, excessive scratching, minor eye discharge, diarrhea. Age: 5.0 years. Symptoms for the past week. Seems to be getting worse.",moderate,2,61,False,False,"['ear infections', 'skin condition']"
54,2024-08-29T11:53:03.880503,hamster,mixed,7.2,adult,0.2,"['nail trimming needed', 'routine checkup', 'diet advice needed']","My 7.2 year old mixed hamster has been experiencing nail trimming needed, routine checkup, diet advice needed. Started today. Very worried.",low,1,139,False,True,[]
55,2025-01-13T11:53:03.880511,guinea pig,mixed,5.0,adult,0.8,['vomiting'],My 5.0 year old mixed guinea pig has been experiencing vomiting. Just started an hour ago. Should we come in immediately?,moderate,2,61,False,True,[]
56,2024-09-08T11:53:03.880518,rabbit,mixed,14.3,senior,3.0,"['persistent coughing', 'swollen face', 'bloody diarrhea', 'excessive panting']","Patient is a mixed rabbit, 14.3 years old, presenting with persistent coughing, swollen face, bloody diarrhea, excessive panting. Has been going on for 2 days. Pet is distressed.",urgent,5,0,True,False,"['dental disease', 'eye problems', 'arthritis']"
57,2025-04-03T11:53:03.880527,guinea pig,mixed,2.3,young,0.7,"['minor limping', 'diarrhea', 'mild coughing']","Concerned about my guinea pig (mixed, 2.3yo) showing signs of minor limping, diarrhea, mild coughing. Has been going on for 2 days. Very worried.",moderate,3,19,False,False,"['dental disease', 'allergies']"
58,2024-12-16T11:53:03.880535,cat,Persian,1.6,young,4.1,"['dental cleaning inquiry', 'diet advice needed', 'behavioral consultation']","Persian cat with dental cleaning inquiry, diet advice needed, behavioral consultation. Age: 1.6 years. Symptoms for the past week. Please advise urgency.",low,2,107,False,False,[]
59,2025-01-15T11:53:03.880544,cat,British Shorthair,5.7,adult,4.0,"['diet advice needed', 'routine checkup', 'excessive drooling']","Patient is a British Shorthair cat, 5.7 years old, presenting with diet advice needed, routine checkup, excessive drooling. Progressive over 3 days. Seems to be getting worse.",low,1,209,False,False,[]
60,2025-07-01T11:53:03.880553,cat,Siamese,11.5,senior,3.9,"['difficulty defecating', 'persistent coughing', 'moderate bleeding', 'sneezing']","Siamese cat with difficulty defecating, persistent coughing, moderate bleeding, sneezing. Age: 11.5 years. Symptoms for the past week. Should we come in immediately?",urgent,5,3,True,True,[]
61,2025-02-26T11:53:03.880562,hamster,mixed,8.0,senior,0.1,"['ear discharge', 'mild coughing', 'minor eye discharge']","Patient is a mixed hamster, 8.0 years old, presenting with ear discharge, mild coughing, minor eye discharge. Noticed yesterday. Should we come in immediately?",moderate,3,17,False,False,[]
62,2025-02-25T11:53:03.880571,hamster,mixed,5.8,adult,0.2,"['sneezing', 'loss of appetite', 'vomiting']","My 5.8 year old mixed hamster has been experiencing sneezing, loss of appetite, vomiting. Symptoms for the past week. Should we come in immediately?",moderate,2,70,False,False,"['skin condition', 'obesity']"
63,2024-10-10T11:53:03.880580,rabbit,mixed,1.8,young,1.9,"['vaccination due', 'paralysis']","Concerned about my rabbit (mixed, 1.8yo) showing signs of vaccination due, paralysis. Just started an hour ago. Seems to be getting worse.",low,2,106,False,False,['diabetes']
64,2025-03-29T11:53:03.880589,dog,Poodle,9.1,senior,34.8,"['excessive scratching', 'diarrhea', 'loss of appetite', 'sneezing']","My 9.1 year old Poodle dog has been experiencing excessive scratching, diarrhea, loss of appetite, sneezing. Noticed yesterday. Seems to be getting worse.",moderate,3,24,False,False,"['skin condition', 'eye problems']"
65,2025-01-31T11:53:03.880597,bird,mixed,1.7,young,0.2,"['diarrhea', 'mild coughing']","Concerned about my bird (mixed, 1.7yo) showing signs of diarrhea, mild coughing. Just started an hour ago. Is this an emergency?",moderate,3,29,False,False,"['diabetes', 'ear infections']"
66,2025-06-16T11:53:03.880606,cat,Persian,6.8,adult,6.2,"['mild scratching', 'behavioral consultation', 'bad breath', 'dental cleaning inquiry']","Persian cat with mild scratching, behavioral consultation, bad breath, dental cleaning inquiry. Age: 6.8 years. Just started an hour ago. Please advise urgency.",low,1,184,False,False,"['cancer remission', 'eye problems']"
67,2025-01-09T11:53:03.880614,dog,Chihuahua,8.9,senior,5.8,['dental cleaning inquiry'],"Patient is a Chihuahua dog, 8.9 years old, presenting with dental cleaning inquiry. Just started an hour ago. Seems to be getting worse.",low,2,108,False,True,[]
68,2025-01-12T11:53:03.880622,dog,Poodle,0.5,puppy,12.2,"['loss of appetite', 'lethargy', 'minor eye discharge', 'excessive scratching']","My 0.5 year old Poodle dog has been experiencing loss of appetite, lethargy, minor eye discharge, excessive scratching. Symptoms for the past week. Please advise urgency.",moderate,3,27,False,True,"['skin condition', 'allergies']"
69,2024-10-28T11:53:03.880631,rabbit,mixed,9.0,senior,2.3,"['sneezing', 'lethargy', 'loss of appetite', 'vomiting']","mixed rabbit with sneezing, lethargy, loss of appetite, vomiting. Age: 9.0 years. Symptoms for the past week. Seems to be getting worse.",moderate,3,29,False,True,"['arthritis', 'hip dysplasia']"
70,2025-02-15T11:53:03.880640,guinea pig,mixed,2.4,young,1.0,"['lethargy', 'loss of appetite', 'ear discharge', 'vomiting', 'bloody diarrhea']","Concerned about my guinea pig (mixed, 2.4yo) showing signs of lethargy, loss of appetite, ear discharge, vomiting, bloody diarrhea. Started today. Pet is distressed.",moderate,3,15,False,True,[]
71,2024-11-26T11:53:03.880648,guinea pig,mixed,9.1,senior,0.7,"['routine checkup', 'mild scratching', 'grooming required']","Patient is a mixed guinea pig, 9.1 years old, presenting with routine checkup, mild scratching, grooming required. Symptoms for the past week. Please advise urgency.",low,2,72,False,False,[]
72,2025-07-31T11:53:03.880656,hamster,mixed,1.0,young,0.2,"['drinking more water than usual', 'ear discharge', 'diarrhea', 'mild coughing']","mixed hamster with drinking more water than usual, ear discharge, diarrhea, mild coughing. Age: 1.0 years. Just started an hour ago. Should we come in immediately?",moderate,3,19,False,False,"['cancer remission', 'kidney disease']"
73,2025-06-24T11:53:03.880664,hamster,mixed,14.3,senior,0.1,"['nail trimming needed', 'weight management consultation']","Patient is a mixed hamster, 14.3 years old, presenting with nail trimming needed, weight management consultation. Symptoms for the past week. Is this an emergency?",low,2,62,False,True,[]
74,2024-09-25T11:53:03.880673,cat,Russian Blue,7.2,adult,4.5,"['ear discharge', 'urinating more frequently', 'sneezing', 'bloody diarrhea']","My 7.2 year old Russian Blue cat has been experiencing ear discharge, urinating more frequently, sneezing, bloody diarrhea. Just started an hour ago. Please advise urgency.",moderate,2,78,False,True,"['ear infections', 'dental disease']"
75,2024-11-08T11:53:03.880681,dog,Labrador,1.4,young,23.9,['excessive scratching'],My 1.4 year old Labrador dog has been experiencing excessive scratching. Just started an hour ago. Is this an emergency?,moderate,3,15,False,False,[]
76,2025-04-24T11:53:03.880998,guinea pig,mixed,4.5,adult,1.0,"['minor limping', 'vomiting', 'lethargy', 'diarrhea', 'moderate bleeding']","mixed guinea pig with minor limping, vomiting, lethargy, diarrhea, moderate bleeding. Age: 4.5 years. Noticed yesterday. Pet is distressed.",moderate,2,84,False,True,[]
77,2024-10-14T11:53:03.881008,cat,Abyssinian,0.6,kitten,2.5,"['weight management consultation', 'routine checkup', 'diet advice needed', 'vaccination due']","Abyssinian cat with weight management consultation, routine checkup, diet advice needed, vaccination due. Age: 0.6 years. Just started an hour ago. Very worried.",low,2,105,False,False,['ear infections']
78,2025-07-02T11:53:03.881017,cat,Siamese,2.3,young,5.0,['limping severely'],"Patient is a Siamese cat, 2.3 years old, presenting with limping severely. Symptoms for the past week. Seems to be getting worse.",urgent,4,6,True,False,"['eye problems', 'kidney disease']"
79,2025-06-25T11:53:03.881026,hamster,mixed,9.6,senior,0.1,"['weight management consultation', 'routine checkup', 'dental cleaning inquiry']","mixed hamster with weight management consultation, routine checkup, dental cleaning inquiry. Age: 9.6 years. Has been going on for 2 days. Seems to be getting worse.",low,2,96,False,False,[]
80,2025-06-23T11:53:03.881034,bird,mixed,1.9,young,0.2,"['routine checkup', 'mild scratching', 'pale gums']","Concerned about my bird (mixed, 1.9yo) showing signs of routine checkup, mild scratching, pale gums. Has been going on for 2 days. Should we come in immediately?",low,2,59,False,True,"['anxiety', 'thyroid issues']"
81,2024-12-01T11:53:03.881043,dog,Bulldog,2.3,young,15.9,['vomiting blood'],My 2.3 year old Bulldog dog has been experiencing vomiting blood. Progressive over 3 days. Very worried.,urgent,4,6,True,True,['allergies']
82,2025-05-23T11:53:03.881051,rabbit,mixed,13.3,senior,2.8,"['diarrhea', 'drinking more water than usual', 'vomiting', 'ear discharge']","Concerned about my rabbit (mixed, 13.3yo) showing signs of diarrhea, drinking more water than usual, vomiting, ear discharge. Started today. Please advise urgency.",moderate,3,22,False,True,[]
83,2024-12-08T11:53:03.881060,cat,Ragdoll,0.2,kitten,2.0,"['diarrhea', 'loss of appetite', 'vomiting', 'eye discharge with squinting']","Ragdoll cat with diarrhea, loss of appetite, vomiting, eye discharge with squinting. Age: 0.2 years. Started today. Is this an emergency?",moderate,3,39,False,True,"['diabetes', 'dental disease', 'ear infections']"
84,2024-09-30T11:53:03.881070,bird,mixed,3.1,adult,0.3,"['behavioral consultation', 'severe trauma']","Patient is a mixed bird, 3.1 years old, presenting with behavioral consultation, severe trauma. Has been going on for 2 days. Please advise urgency.",low,1,197,False,True,"['ear infections', 'obesity', 'skin condition']"
85,2025-04-10T11:53:03.881079,hamster,mixed,7.7,adult,0.2,"['bad breath', 'diet advice needed', 'dental cleaning inquiry', 'mild scratching', 'sudden behavior change']","mixed hamster with bad breath, diet advice needed, dental cleaning inquiry, mild scratching, sudden behavior change. Age: 7.7 years. Has been going on for 2 days. Pet is distressed.",low,1,168,False,False,"['dental disease', 'arthritis', 'diabetes']"
86,2025-07-19T11:53:03.881089,cat,Maine Coon,2.6,young,6.5,"['grooming required', 'nail trimming needed', 'routine checkup', 'dental cleaning inquiry']","My 2.6 year old Maine Coon cat has been experiencing grooming required, nail trimming needed, routine checkup, dental cleaning inquiry. Symptoms for the past week. Should we come in immediately?",low,2,91,False,False,[]
87,2025-01-31T11:53:03.881096,rabbit,mixed,12.5,senior,3.0,"['excessive panting', 'limping severely', 'vomiting blood', 'eye discharge with squinting']","My 12.5 year old mixed rabbit has been experiencing excessive panting, limping severely, vomiting blood, eye discharge with squinting. Progressive over 3 days. Pet is distressed.",urgent,5,3,True,True,[]
88,2025-01-25T11:53:03.881104,guinea pig,mixed,1.5,young,0.7,"['bad breath', 'mild scratching', 'routine checkup']","Concerned about my guinea pig (mixed, 1.5yo) showing signs of bad breath, mild scratching, routine checkup. Just started an hour ago. Please advise urgency.",low,2,45,False,True,['hip dysplasia']
89,2025-01-26T11:53:03.881113,guinea pig,mixed,1.0,young,1.0,['minor limping'],mixed guinea pig with minor limping. Age: 1.0 years. Progressive over 3 days. Is this an emergency?,moderate,3,28,False,True,[]
90,2025-06-12T11:53:03.881121,hamster,mixed,4.2,adult,0.1,"['behavioral consultation', 'nail trimming needed']","My 4.2 year old mixed hamster has been experiencing behavioral consultation, nail trimming needed. Has been going on for 2 days. Pet is distressed.",low,1,222,False,False,[]
91,2024-12-02T11:53:03.881132,dog,Labrador,5.8,adult,35.4,"['sneezing', 'minor eye discharge', 'urinating more frequently', 'diarrhea']","Patient is a Labrador dog, 5.8 years old, presenting with sneezing, minor eye discharge, urinating more frequently, diarrhea. Started today. Please advise urgency.",moderate,2,100,False,False,[]
92,2024-12-25T11:53:03.881143,cat,Abyssinian,16.3,geriatric,3.5,"['severe bleeding', 'bloated abdomen', 'unable to urinate']","My 16.3 year old Abyssinian cat has been experiencing severe bleeding, bloated abdomen, unable to urinate. Noticed yesterday. Is this an emergency?",critical,5,2,True,True,[]
93,2025-07-18T11:53:03.881151,bird,mixed,2.3,young,0.3,"['nail trimming needed', 'weight management consultation']","Patient is a mixed bird, 2.3 years old, presenting with nail trimming needed, weight management consultation. Started today. Is this an emergency?",low,2,108,False,True,[]
94,2025-02-15T11:53:03.881160,hamster,mixed,9.0,senior,0.2,"['mild scratching', 'grooming required', 'bad breath']","mixed hamster with mild scratching, grooming required, bad breath. Age: 9.0 years. Started today. Is this an emergency?",low,2,58,False,True,"['skin condition', 'eye problems']"
95,2025-01-28T11:53:03.881170,cat,Abyssinian,2.5,young,5.7,"['minor limping', 'minor eye discharge']","Abyssinian cat with minor limping, minor eye discharge. Age: 2.5 years. Just started an hour ago. Very worried.",moderate,3,23,False,False,[]
96,2025-02-20T11:53:03.881178,guinea pig,mixed,2.2,young,1.0,"['mild coughing', 'minor limping', 'sneezing']","My 2.2 year old mixed guinea pig has been experiencing mild coughing, minor limping, sneezing. Started today. Very worried.",moderate,3,25,False,False,[]
97,2024-09-14T11:53:03.881187,guinea pig,mixed,4.4,adult,1.1,"['minor eye discharge', 'mild coughing', 'urinating more frequently', 'vomiting']","mixed guinea pig with minor eye discharge, mild coughing, urinating more frequently, vomiting. Age: 4.4 years. Symptoms for the past week. Pet is distressed.",moderate,2,73,False,True,['hip dysplasia']
98,2025-01-02T11:53:03.881196,bird,mixed,2.6,young,0.2,['dental cleaning inquiry'],"Patient is a mixed bird, 2.6 years old, presenting with dental cleaning inquiry. Started today. Very worried.",low,2,59,False,False,"['arthritis', 'anxiety']"
99,2024-10-31T11:53:03.881205,dog,Dachshund,16.1,geriatric,21.0,['bad breath'],My 16.1 year old Dachshund dog has been experiencing bad breath. Progressive over 3 days. Seems to be getting worse.,low,3,24,False,True,[]
